Fund,Bank Name ,City ,State ,Location,Latitude,Longitude,QBFASSET
10476,Douglas County Bank,Douglasville,GA,"Douglasville, GA",33.7514966,-84.7477136,2153690
10477,Parkway Bank,Lenoir,NC,"Lenoir, NC",35.2590371,-77.6484879,8487
10473,Chipola Community Bank,Marianna,FL,"Marianna, FL",30.7743596,-85.2268735,15760
10475,Heritage Bank of North Florida,Orange Park,FL,"Orange Park, FL",30.1654707,-81.7016346,5089260
10474,First Federal Bank,Lexington,KY,"Lexington, KY",38.0464066,-84.4970393,413673
10472,Gold Canyon Bank,Gold Canyon,AZ,"Gold Canyon, AZ",33.3710715,-111.42618498017515,717806
10471,Frontier Bank,LaGrange,GA,"LaGrange, GA",33.039291,-85.0313269,245534
10470,Covenant Bank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,194618
10469,1st Regents Bank,Andover,MN,"Andover, MN",45.2332985,-93.2913405,1599122
10468,Westside Community Bank,University Place,WA,"University Place, WA",47.2368034,-122.552067,17028
10467,Community Bank of the Ozarks,Sunrise Beach,MO,"Sunrise Beach, MO",38.1758645,-92.7843553,47523
10466,Hometown Community Bank,Braselton,GA,"Braselton, GA",34.1092735,-83.7626729,46818
10464,Citizens First National Bank,Princeton,IL,"Princeton, IL",41.368092,-89.4648145,161430
10465,Heritage Bank of Florida,Lutz,FL,"Lutz, FL",28.1300994,-82.45918424070945,83679
10463,NOVA Bank,Berwyn,PA,"Berwyn, PA",40.0448306,-75.4388053,444710
10460,Excel Bank,Sedalia,MO,"Sedalia, MO",38.7098314,-93.2295515,36484
10461,First East Side Savings Bank,Tamarac,FL,"Tamarac, FL",26.2128609,-80.2497707,31479
10462,GulfSouth Private Bank,Destin,FL,"Destin, FL",30.3935337,-86.4957834,1765455
10459,First United Bank,Crete,IL,"Crete, IL",41.4445334,-87.6313829,51628
10458,Truman Bank,St. Louis,MO,"St. Louis, MO",38.6280278,-90.1910154,13408
10457,First Commercial Bank,Bloomington,MN,"Bloomington, MN",44.8322405,-93.3204872,2473806
10456,Waukegan Savings Bank,Waukegan,IL,"Waukegan, IL",42.3636331,-87.8447938,103965
10455,Jasper Banking Company,Jasper,GA,"Jasper, GA",33.3254635,-83.6868559,307021614
10453,Second Federal Savings and Loan Association of Chicago,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,3715433
10452,Heartland Bank,Leawood,KS,"Leawood, KS",38.966673,-94.6169012,19599414
10450,First Cherokee State Bank,Woodstock,GA,"Woodstock, GA",34.1014112,-84.5192192,117978966
10451,Georgia Trust Bank,Buford,GA,"Buford, GA",34.1206564,-84.0043513,37986413
10454,The Royal Palm Bank of Florida,Naples,FL,"Naples, FL",26.1421976,-81.7942944,347408
10449,Glasgow Savings Bank,Glasgow,MO,"Glasgow, MO",39.2255213,-92.8435384,166456
10448,Montgomery Bank & Trust,Ailey,GA,"Ailey, GA",32.1874042,-82.5656886,490656
10447,The Farmers Bank of Lynchburg,Lynchburg,TN,"Lynchburg, TN",35.2831727,-86.3739827,13111463
10446,Security Exchange Bank,Marietta,GA,"Marietta, GA",33.9528472,-84.5496148,606153
10445,Putnam State Bank,Palatka,FL,"Palatka, FL",29.6487882,-81.6372111,13464352
10444,Waccamaw Bank,Whiteville,NC,"Whiteville, NC",34.3387802,-78.7030721,144688
10442,Farmers' and Traders' State Bank,Shabbona,IL,"Shabbona, IL",41.7680851,-88.8770311,451888
10441,Carolina Federal Savings Bank,Charleston,SC,"Charleston, SC",32.7884363,-79.9399309,503643
