Fund,Bank Name ,City ,State ,Location
10144,Home Federal Savings Bank,Detroit,MI,"Detroit, MI"
10145,United Security Bank,Sparta,GA,"Sparta, GA"
10138,North Houston Bank,Houston,TX,"Houston, TX"
10142,Madisonville State Bank,Madisonville,TX,"Madisonville, TX"
10141,Citizens National Bank,Teague,TX,"Teague, TX"
10140,Park National Bank,Chicago,IL,"Chicago, IL"
10139,Pacific National Bank,San Francisco,CA,"San Francisco, CA"
10134,California National Bank,Los Angeles,CA,"Los Angeles, CA"
10135,San Diego National Bank,San Diego,CA,"San Diego, CA"
10137,Community Bank of Lemont,Lemont,IL,"Lemont, IL"
10136,"Bank USA, N.A.",Phoenix,AZ,"Phoenix, AZ"
10128,First DuPage Bank,Westmont,IL,"Westmont, IL"
10133,Riverview Community Bank,Otsego,MN,"Otsego, MN"
10132,Bank of Elmwood,Racine,WI,"Racine, WI"
10129,Flagship National Bank,Bradenton,FL,"Bradenton, FL"
10131,Hillcrest Bank Florida,Naples,FL,"Naples, FL"
10127,American United Bank,Lawrenceville,GA,"Lawrenceville, GA"
10130,Partners Bank,Naples,FL,"Naples, FL"
10126,San Joaquin Bank,Bakersfield,CA,"Bakersfield, CA"
10123,Southern Colorado National Bank,Pueblo,CO,"Pueblo, CO"
10124,Jennings State Bank,Spring Grove,MN,"Spring Grove, MN"
10125,Warren Bank,Warren,MI,"Warren, MI"
10122,Georgian Bank,Atlanta,GA,"Atlanta, GA"
